Date,Cases,HospitalCases,IcuCases,Deaths,InHospital,InIcu
2021-07-01,448,12,0,0,44,0
2021-07-02,512,9,0,0,46,0
2021-07-03,448,6,0,0,42,0
2021-07-04,562,10,0,0,48,0
2021-07-05,365,5,0,0,51,0
2021-07-06,397,8,2,0,54,0
2021-07-07,581,13,2,0,60,0
2021-07-08,534,13,0,6,58,0
2021-07-09,631,5,0,0,50,0
2021-07-10,581,7,1,0,52,0
2021-07-11,576,9,0,0,58,0
2021-07-12,600,7,0,0,63,0
2021-07-13,589,8,1,0,62,0
2021-07-14,783,21,2,0,73,0
2021-07-15,994,23,3,12,80,0
2021-07-16,1173,16,2,0,79,0
2021-07-17,1377,18,1,0,78,0
2021-07-18,1179,19,0,0,91,0
2021-07-19,1071,15,1,0,101,0
2021-07-20,1110,14,1,0,89,0
2021-07-21,1378,18,3,0,96,0
2021-07-22,1189,26,1,0,95,0
2021-07-23,1386,25,2,8,106,0
2021-07-24,1345,19,1,0,105,0
2021-07-25,1126,23,3,0,123,0
2021-07-26,1345,30,6,0,141,0
2021-07-27,1120,29,5,0,142,0
2021-07-28,1408,30,1,0,152,0
2021-07-29,1361,32,1,9,162,0
2021-07-30,1501,25,1,0,169,0
2021-07-31,1427,20,4,0,164,0
2021-08-01,1098,20,1,0,163,0
2021-08-02,1352,22,2,0,177,0
2021-08-03,1015,14,2,0,178,0
2021-08-04,1314,35,3,0,187,0
2021-08-05,1491,20,1,9,193,0
2021-08-06,1782,23,3,0,189,0
2021-08-07,1828,32,5,0,198,0
2021-08-08,1837,26,3,0,208,0
2021-08-09,1522,26,3,0,217,0
2021-08-10,1508,34,1,0,206,0
2021-08-11,1819,34,6,0,206,36
2021-08-12,1903,41,6,15,219,37
2021-08-13,1978,30,8,0,221,43
2021-08-14,2074,33,4,0,229,43
2021-08-15,1758,35,5,0,248,48
2021-08-16,1558,24,6,0,262,51
2021-08-17,1496,31,4,0,248,54
2021-08-18,1861,37,7,15,249,54
2021-08-19,1818,31,2,0,244,52
2021-08-20,2098,37,3,0,251,52
2021-08-21,2125,52,5,0,259,54
2021-08-22,1688,64,5,0,314,59
2021-08-23,1592,26,6,0,318,60
2021-08-24,1571,42,5,0,307,55
2021-08-25,2051,56,5,0,323,56
2021-08-26,1866,57,8,18,332,61
2021-08-27,1875,47,2,0,326,59
2021-08-28,1997,45,6,0,324,61
2021-08-29,1706,41,3,0,347,60
2021-08-30,1293,40,2,0,382,61
2021-08-31,1382,38,5,0,355,54
2021-09-01,1789,52,7,20,360,56
2021-09-02,1751,45,5,0,345,59
2021-09-03,0,43,3,0,353,55
